#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,bg_shirley_,C_1
528.6,264.24638275132384,529.2482,108.12383050903844,73.35698770934246,156.1225522422854,229.47953995162786,156.1225522422854,73.35698770934246
528.5,245.4541177596102,529.1482,89.33156601438426,68.08195841187683,156.12255174522593,224.20451015710276,156.12255174522593,68.08195841187683
528.4,234.64979029518418,529.0482,78.52723896062716,63.44925541372365,156.12255133455702,219.57180674828066,156.12255133455702,63.44925541372365
528.3,149.80648040339292,528.9481999999999,-6.316070570164044,59.345550926154374,156.12255097355697,215.46810189971134,156.12255097355697,59.34555092615437
528.2,82.9013234681288,528.8482,-73.22122753446396,55.68232971708008,156.12255100259276,211.80488071967284,156.12255100259276,55.68232971708009
528.1,141.99298204090155,528.7482,-14.129569298298776,52.38996284448476,156.12255133920033,208.51251418368508,156.12255133920033,52.38996284448477
528.0,238.14791336228973,528.6482,82.02536195813391,49.413183107484485,156.12255140415581,205.5357345116403,156.12255140415581,49.41318310748448
527.9,191.32294974780962,528.5482,35.200398720735166,46.70766419630584,156.12255102707445,202.8302152233803,156.12255102707445,46.70766419630585
527.8,108.44512408987976,528.4481999999999,-47.67742677537382,44.23745205973111,156.12255086525357,200.36000292498468,156.12255086525357,44.23745205973112
527.7,164.55638937528784,528.3482,8.43383829085488,41.973043797122756,156.12255108443296,198.0955948815557,156.12255108443296,41.97304379712277
527.6,195.70321782142673,528.2482,39.58066677576525,39.88995225067825,156.12255104566148,196.01250329633973,156.12255104566148,39.88995225067824
527.5,244.88278432511925,528.1482,88.76023346141528,37.9676313865848,156.12255086370396,194.09018225028876,156.12255086370396,37.9676313865848
527.4,326.1155020360693,528.0482,169.9929515804078,36.188667919370744,156.1225504556615,192.31121837503224,156.1225504556615,36.18866791937076
527.3,326.3814355727354,527.9481999999999,170.2588858985538,34.538168741651305,156.1225496741816,190.66071841583292,156.1225496741816,34.538168741651305
527.2,245.61455991289768,527.8482,89.4920110214185,33.003292323533486,156.12254889147917,189.12584121501266,156.12254889147917,33.0032923235335
