#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!),,,,,,,,,,,,
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,TiC,Ti 2+,Ti 3+,Ti 4+,TiC (2p1/2),Ti 2+ (2p1/2),C_7
459.6,14778,460.0195,1703.81116678843,-11377.3701753818,13074.1888332116,1696.81865782974,2.16833993074484E-25,1.43044441834896E-09,0.000294326943327004,1104.13565661357,373.118746416306,218.457958883875,1.10600158761638
459.5,14727,459.9195,1664.84042753734,-11439.2367769261,13062.1595724627,1622.92279553659,3.11056639617041E-24,6.24488007617927E-09,0.000886529547120398,1169.72017383088,271.027472776996,181.150443996046,1.02381839687569
459.4,14746,459.8195,1695.84122809002,-11469.4995603932,13050.15877191,1580.65921151681,4.22376797829045E-23,2.6244375376521E-08,0.00256750904192841,1238.60439927768,192.00213057944,149.102506741676,0.947607382726422
459.3,14641,459.7195,1602.61984251226,-11472.505099879,13038.3801574877,1565.87505760874,5.42886047764069E-22,1.06171365195069E-07,0.00714967533465922,1310.52889862986,132.64601856809,121.816045803446,0.876944825840324
459.2,14608,459.6195,1580.98832382266,-11452.9469176509,13027.0116761773,1574.06475852644,6.60488011247166E-21,4.13463889044115E-07,0.0191432747577573,1385.08647580698,89.3610973389721,98.7866053921338,0.81143630012696
459.1,14494,459.5195,1477.91147874314,-11415.3764936064,13016.0885212569,1600.71202765042,7.60621176501457E-20,1.54998248848853E-06,0.0492835197308177,1461.69357983026,58.7004135209979,79.518034525443,0.750714704010264
459,14570,459.4195,1564.77674303913,-11363.7126735994,13005.2232569609,1641.51058336149,8.2912247076569E-19,5.59338895660451E-06,0.121995208356822,1539.5636125222,37.5963818059416,63.5341498116359,0.694438419969557
458.9,14611,459.3195,1617.13918144269,-11301.3779160494,12993.8608185573,1692.48290250791,8.55490801509976E-18,1.94304237649053E-05,0.290361747737229,1617.68595499563,23.4767757733296,50.3875009665254,0.642289594268427
458.8,14673,459.2195,1690.95218508288,-11232.016067075,12982.0478149171,1750.03174784214,8.35522166685583E-17,6.49753379268728E-05,0.664494824799367,1694.81569530539,14.2920664179588,39.6654537893592,0.593972529291601
458.7,14833,459.1195,1863.64544840757,-11158.3872778093,12969.3545515924,1810.96727378317,7.72406946863644E-16,0.000209157693563443,1.46217507488985,1769.47987887615,8.48191146224551,30.9938870308341,0.549212181365
458.6,14876,459.0195,1920.15718960514,-11083.2888205347,12955.8428103949,1872.5539898602,6.75895444318784E-15,0.000648124090155237,3.09358976485894,1840.0061757881,4.90697410397954,24.0388493218056,0.507752757368356
458.5,14839,458.9195,1896.78727836816,-11009.5957113535,12942.2127216318,1932.6170102783,5.59831863529709E-14,0.00193331004198109,6.29334644960738,1904.57866289592,2.76716757736919,18.5065436414987,0.469356403861666
458.4,14924,458.8195,1995.68708002039,-10938.5780226045,12928.3129199796,1989.7348973751,4.38914620155682E-13,0.00555141727071519,12.3099455207701,1961.32255545126,1.52103863489141,14.1420043680747,0.433801982825473
458.3,15077,458.7195,2163.53943827671,-10869.9355919659,12913.4605617233,2043.52496975742,3.25721493477943E-12,0.015344942321214,23.1518763238131,2008.41514181393,0.814911732967972,10.7268110159001,0.400883928482493
458.2,14878,458.6195,1979.33339847787,-10803.6722607232,12898.6666015221,2094.99434079896,2.28800158604165E-11,0.0408305914784599,41.8669987105305,2044.21442202297,0.425529671304262,8.07614862264702,0.370411180005178
458.1,14874,458.5195,1989.50589491644,-10737.6070726585,12884.4941050836,2146.8870324251,1.52128070897319E-10,0.104583965486236,72.7969253188703,2067.39127250241,0.216562069376229,6.03548238357193,0.34220618523485
458,14963,458.4195,2093.08459031257,-10666.0044646725,12869.9154096874,2203.91094501493,9.5742580717813E-10,0.257871627488921,121.705391190917,2077.04709817754,0.107412140423726,4.47706790676028,0.316103970842086
457.9,15183,458.3195,2328.87515379386,-10581.4318335869,12854.1248462061,2272.69301261922,5.70352354788615E-09,0.612069924994962,195.642033827402,2072.79856632344,0.0519192903145831,3.29647197272337,0.291951274637847
457.8,15255,458.2195,2417.82534782464,-10475.8660174356,12837.1746521754,2361.30863473976,3.21605369679224E-08,1.39848412919235,302.391858116422,2054.81499550189,0.0244565525570136,2.4092346715185,0.269605736015471
457.7,15450,458.1195,2630.85389053966,-10340.8599865948,12819.1461094603,2478.28612286556,1.71650429306142E-07,3.07590605250275,449.400540767572,2023.80175016764,0.0112263935878632,1.74776417184659,0.248935140752197
457.6,15516,458.0195,2715.947008543,-10168.9406037309,12800.052991457,2631.11238772608,8.67176811096938E-07,6.51249816512089,642.1739141962,1980.93261476531,0.00502171325690244,1.25852130238261,0.229816716635009
457.5,15752,457.9195,2972.25926548637,-9955.28820705641,12779.7407345136,2824.45252745721,4.14678184748912E-06,13.273369489109,882.322393487916,1927.74291189215,0.00218886453921139,0.899523100118799,0.21213647659905
457.4,15809,457.8195,3050.76714586584,-9699.7338283925,12758.2328541342,3058.49902574167,1.87696038034725E-05,26.0419665488603,1165.62141011455,1866.0007395354,0.000929673567138763,0.638172493413486,0.195788606272537
457.3,16112,457.7195,3376.71932985168,-9407.27200561085,12735.2806701483,3328.00866453747,8.04153620419251E-05,49.1841751276722,1480.61894637671,1797.57499802546,0.000384748157284336,0.449404951097084,0.180674893020511
457.2,16236,457.6195,3525.36628002405,-9088.05687496614,12710.633719976,3622.57684500982,0.000326108827200343,89.4202810243605,1808.35903881244,1724.31620811562,0.000155148451368242,0.314131606355529,0.166704193762026
457.1,16689,457.5195,4005.2577045481,-8755.26802341407,12683.7422954519,3928.47427203783,0.00125177226320027,156.496882773599,2123.64340096966,1647.96093234255,6.0958465100104E-05,0.217951282284698,0.153791939008351
457,16901,457.4195,4246.72505974611,-8422.34297827123,12654.2749402539,4231.93196198266,0.004548068031569,263.654006350379,2397.91672048225,1570.0647038884,2.33360631971627E-05,0.150100186798331,0.141859670733134
456.9,17069,457.3195,4445.76544271947,-8100.0299932469,12623.2345572805,4523.20456403363,0.0156410917358031,427.584625884213,2603.40762146471,1491.96322526344,8.70402025276333E-06,0.102607013678802,0.130834611835977
456.8,17319,457.2195,4728.52631022344,-7790.22055189521,12590.4736897766,4800.25313788135,0.0509149454688981,667.526959943138,2717.72694469071,1414.75804381313,3.1630282598004E-06,0.0696220607690627,0.120649265105594
456.7,17425,457.1195,4868.79780193114,-7485.51741450148,12556.2021980689,5070.68478356738,0.156877709694243,1003.1700610894,2727.87861250136,1339.32109897599,1.11987528344879E-06,0.0468911313321469,0.11124103972185
456.6,17963,457.0195,5443.62286225952,-7168.54254979423,12519.3771377405,5350.83458794626,0.457524722320312,1451.24032377295,2632.69066664095,1266.31217261262,3.86289181415136E-07,0.0313479076679223,0.102551903461987
456.5,18142,456.9195,5662.28140686123,-6818.1133102733,12479.7185931388,5661.60528286547,1.26300448734101,2020.98520603,2443.0378701279,1196.2038722554,1.29815024377176E-07,0.0208017761118658,0.0945280588952817
456.4,18670,456.8195,6232.75790727945,-6415.50335326973,12437.2420927206,6021.73873945082,3.30013615565721,2709.2304895303,2179.7974331233,1129.30985951475,4.25011275143609E-08,0.0137014423450202,0.0871196419599711
456.3,19197,456.7195,6806.31970258859,-5950.41497636325,12390.6802974114,6440.26532104815,8.16197194866466,3496.13180514546,1870.06906838391,1065.813237216,1.35560410354783E-08,0.00895789913973293,0.0802804414213721
456.2,19230,456.6195,6888.22212287871,-5431.20460019828,12341.7778771213,6910.57327692301,19.1070769543032,4342.98833457328,1542.60498087327,1005.79310361595,4.2122716035494E-09,0.00581326418320687,0.0739676378068448
456.1,19488,456.5195,7196.51791853838,-4882.9530924617,12291.4820814616,7408.52898899993,42.337866142172,5193.36146466681,1223.50960785623,949.248164151134,1.27510319181538E-09,0.00374462180962662,0.0681415605046817
456,19950,456.4195,7711.75450091031,-4342.03430133096,12238.2454990897,7896.21119775873,88.7971201549378,5978.15900550384,933.07297558413,896.116936801558,3.76023021908473E-10,0.00239425209372347,0.0627654618001434
455.9,20272,456.3195,8090.18230736719,-3850.60694949014,12181.8176926328,8331.21074314267,176.280245600156,6624.38241831396,684.1942353195,846.294519084419,1.08023582156214E-10,0.00151951782931576,0.0578053067013049
455.8,20408,456.2195,8284.65591178313,-3443.87124769984,12123.3440882169,8679.47284051704,331.240104369518,7066.1418636003,482.39054017262,799.64614556833,3.02310254875648E-11,0.000957228753419814,0.0532295774833372
455.7,20702,456.1195,8639.08963265961,-3135.00273472167,12062.9103673404,8927.90763261872,589.137043577868,7255.68352334188,327.019557674819,756.017900383234,8.2416220072718E-12,0.000598548961715244,0.0490090919497915
455.6,21115,456.0195,9115.49021500257,-2907.37599827056,11999.5097849974,9092.13378672687,991.798749257901,7171.88526985582,213.159279369396,715.24499991029,2.18873689723554E-12,0.000371498991326928,0.0451168344754783
455.5,21489,455.9195,9556.16562291035,-2717.51857627877,11932.8343770896,9215.31580081088,1580.3899006697,6824.13104560682,133.595039366544,677.158058498471,5.66227840167915E-13,0.000228870388592857,0.0415277989576585
455.4,21564,455.8195,9699.92802459181,-2507.73224716167,11864.0719754082,9356.33972824652,2383.62569804194,6250.58125946546,80.5066941508378,641.587717788112,1.42692646119903E-13,0.00013995730977194,0.03821884285955
455.3,21873,455.7195,10079.559435448,-2224.24523292853,11793.440564552,9569.19533162348,3402.86451558436,5511.27999707986,46.6475917100564,608.367973745231,3.50284379397873E-14,8.49523849783463E-05,0.035168551584826
455.2,22120,455.6195,10399.6896548005,-1840.97416625259,11720.3103451995,9879.33617894693,4598.15606765274,4677.82066918826,25.9885490406865,577.338484769319,8.37616093236843E-15,5.11834524435246E-05,0.0323571124721224
455.1,22159,455.5195,10513.3689830749,-1380.25702766772,11645.6310169251,10265.3739892574,5881.05004327221,3822.02641368706,13.9216403983614,548.346095092434,1.95106046984939E-15,3.06095953556119E-05,0.0297661977460254
455,21996,455.4195,10425.1391901786,-916.684591766132,11570.8608098214,10654.1762180553,7119.63663773458,3006.09583882584,7.1705812684615,521.245763200434,4.42684667703839E-16,1.81701959630491E-05,0.0273788558056062
