#No of rows lightened (2D detector)1(if not using 2D detector, value is 1 and can be ignored!)
raw_x,raw_y,corrected x,data-bg,sum_components,bg,sum_fit,bg_shirley_,C_1,C_2,C_3
534.3,385.4143089291192,534.9539,229.27320643877766,286.88486252684373,156.14110249034155,443.0259650171853,156.14110249034155,281.00896032549645,5.875902201347291,8.126034644282276e-20
534.2,450.08263671714667,534.8539000000001,293.94153528080665,337.68677617401,156.14110143634005,493.8278776103501,156.14110143634005,331.5750860559142,6.11169011809584,6.544454145217258e-19
534.1,471.8200819082176,534.7539,315.6789818231679,395.0338003161917,156.14110008504974,551.1749004012414,156.14110008504974,388.6718168110522,6.361983505139431,5.04671315741407e-18
534.0,634.7052097407523,534.6539,478.56411110692267,459.23747932047155,156.14109863382959,615.3785779543011,156.14109863382959,452.6094802670599,6.627999053411722,3.7263551655760297e-17
533.9,740.805503448828,534.5539,584.6644070150228,530.5159559214289,156.1410964338051,686.657052355234,156.1410964338051,523.604871947561,6.911083973867909,2.634512740662111e-16
533.8,745.9948195514808,534.4539,589.8537258054571,608.9725001339788,156.14109374602367,765.1135938800024,156.14109374602367,601.7597669358389,7.212733198139897,1.783432977930028e-15
533.7,900.3117273136177,534.3539000000001,744.1706362792314,694.5746578377958,156.14109103438628,850.7157488721821,156.14109103438628,687.0400485495721,7.5346092882236375,1.1559890371281715e-14
533.6,902.7540293533784,534.2539,746.6129417400446,787.1349974100947,156.1410876133338,943.2760850234285,156.1410876133338,779.2564318550793,7.878565555015422,7.174490592274007e-14
533.5,945.2322640714392,534.1539,789.0911798903854,886.2945035820925,156.14108418105377,1042.4355877631463,156.14108418105377,878.0478305901748,8.246672991917215,4.2635254331556297e-13
533.4,1161.9178081710215,534.0539,1005.7767276175258,991.5096903132877,156.1410805534957,1147.6507708667834,156.1410805534957,982.8684385512923,8.641251761992848,2.4259792290219558e-12
533.3,1215.819799703635,533.9539,1059.6787237738292,1102.044470522244,156.1410759298058,1258.1855464520497,156.1410759298058,1092.9795623799105,9.06490814232032,1.3217390795818447e-11
533.2,1519.0074331173491,533.8539000000001,1362.8663620590278,1216.9677243723406,156.14107105832136,1373.108795430662,156.14107105832136,1207.4471463357047,9.52057803656702,6.89516742839741e-11
533.1,1714.5940442764677,533.7539,1558.452979483424,1335.1573474249137,156.14106479304363,1491.2984122179573,156.14106479304363,1325.1457689959807,10.011578428588663,3.4441680529880206e-10
533.0,1578.2280269654311,533.6539,1422.0869693368027,1455.311337473789,156.14105762862857,1611.4523951024178,156.14105762862857,1444.7696689899649,10.541668482177087,1.6472680858161232e-09
532.9,1743.885440325248,533.5539,1587.744389234142,1575.9662009513788,156.141051091106,1732.1072520424848,156.141051091106,1564.851078527275,11.115122416560123,7.543704491487198e-09
532.8,2012.8905474048242,533.4539,1856.7495036127898,1695.5226376709302,156.14104379203457,1851.6636814629646,156.14104379203457,1683.785820805048,11.736816832803632,3.3078475290191406e-08
532.7,1923.038962341754,533.3539000000001,1766.8979270854427,1812.2781118149155,156.1410352563114,1968.419147071227,156.1410352563114,1799.865775803837,12.412335872196124,1.388822459916489e-07
532.6,2211.3461251688204,533.2539,2055.205098035173,1924.4655564399213,156.14102713364773,2080.606583573569,156.14102713364773,1911.317457374022,13.148098507572733,5.583267193592136e-07
532.5,2311.9643958653996,533.1539,2155.8233781798012,2030.297109748897,156.14101768559823,2186.438127434495,156.14101768559823,2016.3455941235502,13.9515134761779,2.149168790767928e-06
532.4,2181.5588392206137,533.0539,2025.4178314456203,2128.0114665837114,156.14100777499337,2284.1524743587047,156.14100777499337,2113.180289701704,14.831168960768874,7.921238164071497e-06
532.3,2320.1598382453703,532.9539,2164.0188397814904,2215.923170496834,156.14099846387995,2372.0641689607137,156.14099846387995,2200.126076283849,15.797066258206327,2.7954778126944894e-05
532.2,2452.977949893748,532.8539000000001,2296.8369613781483,2292.471991865759,156.14098851559953,2448.6129803813583,156.14098851559953,2275.6109878570305,16.86090954622283,9.446250554406804e-05
